Customer ID,Sales Amount
18102.0,349164.35
14646.0,248396.5
14156.0,196549.74
14911.0,152121.22
13694.0,131443.19
17511.0,84541.17
15061.0,83284.38
16684.0,80489.21
16754.0,65500.07
17949.0,60117.6
13089.0,57885.45
15311.0,55942.74
17450.0,52422.3
17850.0,51208.87
12931.0,50291.38
13093.0,47111.18
16029.0,41184.3
15838.0,40519.92
14298.0,39667.19
13798.0,38683.02
13902.0,34095.26
15769.0,32451.6
13081.0,30867.77
13777.0,30501.260000000002
17841.0,29562.02
16705.0,29480.061
16422.0,28904.670000000002
14680.0,28615.27
13881.0,28019.58
17940.0,26286.75
17389.0,25381.65
12482.0,23691.4
14031.0,23632.72
13408.0,23616.422
14063.0,22710.2
16779.0,22554.22
12748.0,22457.9
18251.0,21964.14
13802.0,21659.69
12709.0,21107.94
17677.0,20329.68
17920.0,20137.24
12471.0,20129.54
16013.0,20009.84
15039.0,19960.3
17381.0,19726.76
12415.0,19543.84
14258.0,19381.36
12921.0,19333.95
14527.0,19257.08
14606.0,18482.1
13767.0,18320.170000000002
17675.0,17885.32
15856.0,17703.63
18008.0,17642.89
16210.0,17403.21
12681.0,17080.74
13078.0,16904.510000000002
15523.0,16847.18
12678.0,16652.72
17404.0,15874.3
17865.0,15785.87
13564.0,15310.35
14062.0,15120.800000000001
15768.0,14687.06
17428.0,14562.91
17448.0,14523.67
15808.0,14482.03
13001.0,14256.68
12647.0,14201.53
17377.0,14174.25
14895.0,13980.83
15760.0,13916.34
12939.0,13683.0
14088.0,13544.99
16019.0,13542.92
12454.0,13151.44
14277.0,13009.61
15513.0,12992.33
15498.0,12633.18
14667.0,12418.01
12409.0,12346.619999999999
12357.0,12079.99
17243.0,11920.43
13687.0,11880.84
12682.0,11745.69
16525.0,11535.29
17589.0,11433.77
15640.0,11411.92
16746.0,11366.64
13340.0,11364.08
12949.0,11359.48
12472.0,11308.48
13319.0,11236.95
14134.0,11123.35
12621.0,11086.14
17044.0,11013.82
14543.0,10988.14
15615.0,10974.23
12918.0,10953.5
18052.0,10877.18
16553.0,10864.19
16652.0,10776.42
18087.0,10705.8
14299.0,10533.87
16191.0,10497.300000000001
17416.0,10405.03
14028.0,10396.5
13027.0,10327.2
17716.0,10300.98
17706.0,10245.49
17340.0,9935.93
18172.0,9905.56
15251.0,9839.55
13225.0,9796.23
17133.0,9730.09
15093.0,9729.09
14045.0,9653.279999999999
13952.0,9572.45
14091.0,9530.08
14952.0,9529.86
12714.0,9384.85
16843.0,9374.86
14961.0,9365.47
15291.0,9178.26
14040.0,8963.49
17139.0,8915.99
12980.0,8870.880000000001
12540.0,8854.25
15032.0,8821.55
16549.0,8746.9
15358.0,8703.210000000001
15738.0,8560.550000000001
14160.0,8421.47
16133.0,8403.22
15044.0,8389.42
14739.0,8385.22
16126.0,8356.83
13178.0,8333.72
13206.0,8308.19
16656.0,8207.37
15601.0,8183.56
15078.0,8018.77
14849.0,7832.91
13013.0,7814.83
15382.0,7777.84
16782.0,7732.37
12437.0,7731.99
17581.0,7712.71
13680.0,7700.55
14828.0,7699.7
15005.0,7681.71
13468.0,7670.54
16713.0,7619.21
17858.0,7614.24
13162.0,7587.2
12668.0,7575.88
14607.0,7553.63
18225.0,7539.84
18223.0,7516.31
17364.0,7510.24
16873.0,7493.77
14049.0,7444.68
15497.0,7395.19
15260.0,7377.46
13715.0,7348.3
14194.0,7321.07
13097.0,7320.88
18260.0,7318.91
14110.0,7304.8
15555.0,7267.83
12476.0,7267.49
14426.0,7246.27
16161.0,7210.59
13316.0,7207.89
12433.0,7205.39
12583.0,7166.0599999999995
